domain,company_name,published_cities,published_count,directory_cities,cities_not_published,cities_not_in_directory,locations_page_url,status,confidence,notes
theoppt.com,Optimal Performance and Physical Therapies (OPPT),Bradenton|Clearwater|Lakeland|Largo|Miami|New Port Richey|Oldsmar|Palm Harbor|Saint Petersburg|Tampa|Wesley Chapel|Winter Haven,12,Clearwater|Lakeland|Tampa,,Bradenton|Largo|Miami|New Port Richey|Oldsmar|Palm Harbor|Saint Petersburg|Wesley Chapel|Winter Haven,https://theoppt.com/locations,MATCHED,HIGH,"Tampa Bay area physical therapy chain, 17 clinics on its own /locations page. Clinics are named by neighborhood, so addresses were used for the city: Central Tampa/Northdale/Hyde Park/Citrus Park -> Tampa, Trinity -> New Port Richey, Kendall -> Miami, Mid Pinellas -> Largo, Bayside -> Clearwater, Tyrone -> St. Petersburg. All 3 directory cities are published."
watsonclinic.com,Watson Clinic LLP,Bartow|Lakeland|Plant City|Ruskin|Winter Haven|Zephyrhills,6,Lakeland,,Bartow|Plant City|Ruskin|Winter Haven|Zephyrhills,https://www.watsonclinic.com/locations/,MATCHED,HIGH,"Large multi-specialty physician group in Polk County. Own /locations page lists ~20 sites; 11 of them are in Lakeland. 'Watson Clinic Highlands' entries on E County Road 540A are Lakeland-Highlands-area addresses within Lakeland and were folded into Lakeland. Winter Haven Hospital appears on the page as an affiliated site. Directory has only Lakeland, which is published."
projectbrilliance.com,Project Brilliance,,0,Boca Raton|Lake Worth|Palm Beach Gardens|Stuart|Tampa,,,https://projectbrilliance.com/locations,NO_LOCATIONS_PAGE,MEDIUM,ABA therapy provider for children. https://projectbrilliance.com/locations resolves but publishes no city list - only prose saying 'Project Brilliance is currently located in Florida' with 'new centers opening every year'. Homepage references 'your local Project Brilliance center' but names no cities. List appears JavaScript-rendered or absent. Cannot conclude anything about the 5 directory cities.
dogtrainingelite.com,Dog Training Elite,Jacksonville|Land O' Lakes|Maitland|Ocoee|Panama City|Port Saint Lucie|Saint Petersburg|Sarasota|Tampa|West Palm Beach|Weston,11,Clearwater|Fort Pierce|Orlando|West Palm Beach|Weston,Clearwater|Fort Pierce|Orlando,Jacksonville|Land O' Lakes|Maitland|Ocoee|Panama City|Port Saint Lucie|Saint Petersburg|Sarasota|Tampa,https://dogtrainingelite.com/locations,MISMATCH,HIGH,"National dog-training franchise (offers service-dog/autism-support training). Locations page has a state filter; 11 Florida franchises published. Franchise names are regional and do not equal their city: 'DTE Orlando' is physically in OCOEE and 'DTE North Orlando' is in MAITLAND, so no franchise sits in Orlando city. 'DTE Treasure Coast' is in Port St. Lucie, not Fort Pierce. No Clearwater franchise (nearest are St. Petersburg and Tampa). All 3 flagged directory cities look like regional-name artifacts."
baylifept.com,BayLife Physical Therapy & Rehabilitation,,0,Coconut Creek|Fort Pierce|Port St.. Lucie|Tamarac,,,,NO_LOCATIONS_PAGE,LOW,"Physical therapy group. Site is inaccessible to the fetcher - every attempt (baylifept.com/locations, /our-locations, /our-locations/, www.baylifept.com/locations) failed with a robots.txt ConnectTimeout / robots.txt parse failure, retried multiple times. Site is NOT dead: a locations page at baylifept.com/our-locations/ is indexed and the company operates several brands (BayLife PT & Rehab, Quality Performance Rehab, Back In Action PT, Florida PTI). Because no page loaded, no location list was read and nothing can be concluded. Worth a manual recheck."
caringtherapistsofbroward.com,Caring Therapists (formerly Caring Therapists of Broward),Coral Springs|Davie|Fort Lauderdale|Hollywood|Orlando|Palm Beach Gardens|Pembroke Pines|Port Orange|Sunrise|Wellington,10,Coral Springs|Davie|Fort Lauderdale|Hollywood|Pembroke Pines,,Orlando|Palm Beach Gardens|Port Orange|Sunrise|Wellington,https://caringtherapists.com/contact,MATCHED,HIGH,"Mental health practice (therapy, medication management, psychological testing). caringtherapistsofbroward.com 302-redirects to caringtherapists.com - the company rebranded and expanded beyond Broward. All 5 directory cities appear on the company's own contact/locations page with street addresses. Company now publishes 12 offices across 10 Florida cities (Wellington has 3); 5 of those cities have no directory record."
inbloomautism.com,InBloom Autism Services,Apopka|Davie|Jacksonville|Orlando|Saint Petersburg|Sunrise|Tampa|Winter Park,8,Davie|Fort Lauderdale|Jacksonville|Tampa,Fort Lauderdale,Apopka|Orlando|Saint Petersburg|Sunrise|Winter Park,https://inbloomautism.com/aba-therapy-learning-centers/aba-therapy-in-florida/,MISMATCH,MEDIUM,"Multi-state early-intervention ABA provider (children 18 months to 5 years). /locations 404s; the real Florida locations hub is /aba-therapy-learning-centers/aba-therapy-in-florida/. Published Florida centers: Davie and Sunrise (Broward), two in Jacksonville, Winter Park / Semoran (Orlando) / Apopka in Orange County, plus Tampa and St. Petersburg. FORT LAUDERDALE is not published - the company's only Broward centers are Davie and Sunrise, and Miami-Dade is served in-home with no named center. Site repeatedly hit robots.txt fetch timeouts so the FL hub page was read on retry rather than the top-level locations page; centers are named by region, so exact city attribution for two entries comes from the company's own URL paths."
acornhealth.com,Acorn Health,Altamonte Springs|Championsgate|Coral Gables|East Orange|Kissimmee|Lake Mary|Lakeland|Longwood|Miramar|Orlando|Riverview|Saint Johns|Tampa|Winter Garden,14,Coral Gables|Lakeland|Miramar|Orlando,,Altamonte Springs|Championsgate|East Orange|Kissimmee|Lake Mary|Longwood|Riverview|Saint Johns|Tampa|Winter Garden,https://acornhealth.com/locations/,MATCHED,HIGH,"Multi-state ABA autism therapy provider (FL, MI, VA, IL, MD, PA, TN). Locations page filters by state; 15 Florida centers across 14 cities. Both directory Orlando records are covered - Acorn publishes two Orlando centers (Semoran Blvd and Downtown). 'East Orange' and 'Championsgate' are Acorn's own center names for the Orange County / ChampionsGate areas."
pinecrestpt.com,Pinecrest Physical Therapy,Coral Gables|Doral|Key Biscayne|Miami,4,Coral Gables|Miami,,Doral|Key Biscayne,https://www.pinecrestpt.com/locations,MATCHED,HIGH,"Miami-area physical therapy clinic network. The apex-domain homepage lists no cities; the location list lives on the www host at /locations (9 clinics). Six of the nine clinics carry Miami mailing addresses (Pinecrest, Brickell, Pinecrest PT - South, Pinecrest Performance x2, Pinecrest Wellness) - the 'Pinecrest' brand refers to the Village of Pinecrest but the published addresses read Miami, FL. All 4 directory records map to published clinics."
questinc.org,"Quest, Inc.",Orlando|Tampa,2,Orlando|Tampa|Winter Garden,Winter Garden,,https://questinc.org/contact/,MISMATCH,MEDIUM,"Nonprofit serving children and adults with developmental disabilities in Central Florida for 60+ years (residential, employment, therapy, education, recreation). No dedicated locations page - /locations and /about-us/locations both 404. The contact page publishes only two offices: Orlando corporate (PO Box, Orlando FL 32853) and Tampa regional (3910 N US Hwy 301, Tampa FL 33619). WINTER GARDEN is not published anywhere on the site. Caveat: Quest runs many group homes and program sites it does not list by address, so an unpublished Winter Garden program could exist - hence MEDIUM confidence."
baptistjax.com,Baptist Health (Jacksonville),Fernandina Beach|Fleming Island|Jacksonville|Jacksonville Beach|Nocatee,5,Jacksonville|Jacksonville Beach,,Fernandina Beach|Fleming Island|Nocatee,https://www.baptistjax.com/locations,MATCHED,HIGH,"North Florida health system (hospitals, outpatient, imaging, specialty care), includes Wolfson Children's Hospital. Both directory cities are published: Baptist Medical Center Jacksonville / South / Heart / Wolfson / MD Anderson are all Jacksonville, and Baptist Medical Center Beaches is in Jacksonville Beach. published_cities covers the named hospital and medical-campus cities only - the page also references 20+ imaging centers and dozens of primary-care offices it does not enumerate by city, so the true published footprint is larger. Named neighborhood campuses (Mandarin, Riverside, Northside, Seven Pines, SilverLeaf) resolve to Jacksonville."
forcesportstherapy.com,Force Physical Therapy / Force Sports Therapy,Aventura|Davie|Fort Lauderdale|Miami,4,Fort Lauderdale|Miami,,Aventura|Davie,https://forcesportstherapy.com/locations,MATCHED,HIGH,"South Florida sports physical therapy / performance rehab group, 8 published clinics. Locations are branded by neighborhood: Coconut Grove, Wynwood and Little River all carry Miami, FL addresses; Aventura-JCC and Williams Island are both Aventura. All 4 directory records (1 Fort Lauderdale, 3 Miami) map to published clinics - the three Miami records are consistent with the three Miami-addressed clinics."
hopebridge.com,Hopebridge Autism Therapy Centers,Brandon|Mount Dora|North Port|Ocala|Pinellas Park|Rockledge|Tallahassee,7,Fort Myers|Orlando|Tallahassee,Fort Myers|Orlando,Brandon|Mount Dora|North Port|Ocala|Pinellas Park|Rockledge,https://www.hopebridge.com/centers/,MISMATCH,HIGH,National multi-state ABA/autism therapy chain; Florida is one state section on the all-centers page. Both /locations/ and /centers/ returned the identical 7-city Florida list. Directory's Fort Myers record and both Orlando records name cities not on the company's current Florida center list.
devereux.org,Devereux Advanced Behavioral Health Florida,Melbourne|Orlando|Titusville|Viera,4,Melbourne|Orlando|Palm Bay|Pembroke Pines,Palm Bay|Pembroke Pines,Titusville|Viera,https://www.devereux.org/site/PageServer?pagename=fl_locations,MISMATCH,MEDIUM,"National nonprofit behavioral health org; Florida arm at devereux.org/site/PageServer?pagename=fl_locations lists three campuses (Viera, Orlando, Titusville) plus a Melbourne specialized therapeutic group home. The rest of the page lists region-level service centers (Central Florida, Polk County, Volusia County, Southeast Florida, Southwest Florida) and I/DD group homes with no published city or street address, so Pembroke Pines could sit under the unpublished Southeast Florida service center - MEDIUM confidence for that reason. Palm Bay is not published anywhere on the page."
mykidtherapycenter.com,My Kid Therapy Center,Homestead|Miami|Orlando,3,Homestead|Miami|Orlando,,,https://www.mykidtherapycenter.com/contact-us,MATCHED,HIGH,"South Florida ABA/speech/OT provider. No /locations page; the office list lives on Contact Us and shows five offices - two in Homestead, two with Miami addresses (Country Walk and Blue Lagoon, labelled Kendall and West Miami), and one in Orlando. All three directory cities appear."
fkppec.com,First Kid's PPEC,Hollywood|Lauderhill|Miami,3,Hollywood|Lauderhill|Miami,,,https://fkppec.com/,MATCHED,MEDIUM,"Physician-owned PPEC (prescribed pediatric extended care) operator. No dedicated locations page; the three center addresses are published on the homepage - 8681 Coral Way Miami, 5547 W Oakland Park Blvd Lauderhill, 6515 Taft St Hollywood - and per-center pages exist at /ppec-lauderhill/ and /ppec-hollywood/. The Lauderhill center page loaded and confirmed that site. Deeper pages repeatedly failed with robots.txt fetch timeouts, so confidence is MEDIUM rather than HIGH. All three directory cities match."
myfavoritetherapists.com,My Favorite Therapists,,0,Deerfield Beach|Orlando|Tampa,,,,NO_LOCATIONS_PAGE,LOW,"Florida ABA/speech provider for children 1-12. A locations page does exist (myfavoritetherapists.com/locations, plus per-center pages such as /location/orlando-center/), but every attempt to load it - http and https, with and without www and trailing slash - failed with robots.txt fetch timeout / parse failure, so the published list could not be read from the source page. The homepage did load once and named Tampa, Deerfield Beach, Orlando, Palm Beach and Altamonte Springs, which would cover all three directory cities, but per the rules that homepage list is not used as the published list. No mismatch established either way."
orlandosportsmedicine.com,Orlando Sports Medicine,Altamonte Springs|Orlando,2,Altamonte Springs|Orlando,,,https://orlandosportsmedicine.com/locations/,MATCHED,HIGH,"Orthopedic, post-surgical and sports physical therapy practice with three Metro-Orlando clinics: Waterford Lakes (Orlando), College Park (Orlando) and Altamonte Springs. Directory's two Orlando records and one Altamonte Springs record all correspond to published clinics. Not an autism-specific provider."
pathmedical.com,Path Medical,Aventura|Boca Raton|Coral Springs|Cutler Bay|Fort Lauderdale|Fort Pierce|Haines City|Hallandale Beach|Hialeah|Hollywood|Kissimmee|Longwood|Margate|Miami|Miami Gardens|North Miami|Orlando|Pembroke Pines|Pompano Beach|Port Saint Lucie|West Palm Beach,21,Hollywood|Miami Gardens|West Palm Beach,,Aventura|Boca Raton|Coral Springs|Cutler Bay|Fort Lauderdale|Fort Pierce|Haines City|Hallandale Beach|Hialeah|Kissimmee|Longwood|Margate|Miami|North Miami|Orlando|Pembroke Pines|Pompano Beach|Port Saint Lucie,https://pathmedical.com/locations/,MATCHED,HIGH,"Florida-only accident-injury chiropractic/medical clinic chain; all published clinics are in FL. The locations page names clinics by brand name rather than city, so the 'Palm Beach Lakes' clinic page was opened to confirm its address, 2001 Palm Beach Lakes Blvd, West Palm Beach - that is the match for the directory's West Palm Beach record. 'Kendall' mapped to Miami and the single 'Coral Springs-Margate' clinic counted under both city names. Not an autism-specific provider."
careoptionsforkids.com,Care Options for Kids,Delray Beach|Fort Myers|Jacksonville|Miami Lakes|Miramar|Orlando|Palm Harbor|Spring Hill|Stuart|Tallahassee|Tampa|Winter Haven,12,Jacksonville|Miramar|Spring Hill,,Delray Beach|Fort Myers|Miami Lakes|Orlando|Palm Harbor|Stuart|Tallahassee|Tampa|Winter Haven,https://careoptionsforkids.com/locations,MATCHED,HIGH,Multi-state pediatric home health and therapy company; only the Florida section of the locations page was used. Office labels do not always match the address city - the office labelled 'Fort Lauderdale' has a Miramar FL 33027 address and the one labelled 'Miami' has a Miami Lakes address - so published_cities uses the address city. The page also lists statewide Florida school-based services with no city. All three directory cities are published.
fullspectrumaba.com,Full Spectrum Behavior Analysis (Full Spectrum ABA),Bradenton|Daytona Beach|DeFuniak Springs|Fort Myers|Marathon|Melbourne|Monticello|Summerland Key|Tampa,9,Daytona Beach|Fort Myers|Melbourne,,Bradenton|DeFuniak Springs|Marathon|Monticello|Summerland Key|Tampa,https://www.fullspectrumaba.com/abatherapynearme,MATCHED,HIGH,"Multi-state ABA provider (FL, MS, SC, TN) delivering home, school and community therapy; out-of-state sites (McCormick SC, Ridgeland MS, Memphis TN) excluded. The locations list lives at /abatherapynearme - /locations is a 404. Daytona Beach and Melbourne are listed without street addresses, consistent with service areas rather than brick-and-mortar clinics, but both are published."
ppt4kids.com,Progressive Pediatric Therapy,Boca Raton|Lake Worth|West Palm Beach,3,Boca Raton|Lake Worth|West Palm Beach,,,https://www.ppt4kids.com/contact,MATCHED,HIGH,"Pediatric speech, OT, PT and feeding therapy clinic group. /locations is a 404; the clinic list is on the Contact page and shows Boca Raton, Lake Worth and West Palm Beach in Florida plus one out-of-state clinic in Orland Park, IL (excluded). All three directory cities match."
provitaspeech.com,Provita Speech Language Associates,,0,Boca Raton|Port St.. Lucie|Royal Palm Beach,,,,NO_LOCATIONS_PAGE,LOW,"Pediatric speech/multidisciplinary therapy practice. No locations page exists: /locations and /contact 404-or-block, and the site's Contact Us page (provitaspeech.com/contact-us/) could not be loaded across 5 retries - robots.txt fetch to the host repeatedly times out, so the site is effectively bot-blocked/flaky. Homepage loaded but only describes a service area ('Palm Beach, Broward and surrounding communities'), and the About Us page mentions a Brazil branch plus Boca Raton (opened 2020) and Port Saint Lucie offices. ROYAL PALM BEACH was not seen anywhere on the pages that did load - worth a manual recheck - but no locations page was read, so nothing is concluded."
apollo-rehab.com,Apollo Rehab,Miramar|Parkland|Tamarac,3,Miramar|Parkland|Tamarac,,,https://apollo-rehab.com/locations,MATCHED,HIGH,"Pediatric therapy provider in Broward County. /locations loaded directly and lists exactly three clinics - Miramar, Parkland, Tamarac - each with address and phone. All three directory cities match."
healthpropediatrics.com,HealthPRO Pediatrics,Brandon|Lakeland|Riverview|Tampa,4,Brandon|Tampa,,Lakeland|Riverview,https://healthpropediatrics.com/#locations,MATCHED,MEDIUM,"Pediatric therapy group. /locations returns 404; the Locations nav item is an on-page anchor section on the homepage listing Brandon, Lakeland, North Tampa, Riverview, South Tampa. North Tampa and South Tampa both collapse to Tampa. Both directory cities are published; directory lacks Lakeland and Riverview."
heart4kidstherapy.com,"Heart 4 Kids Therapy, LLC",Palm Harbor|Tampa|Trinity,3,Palm Harbor|Tampa|Trinity,,,https://heart4kidstherapy.com/?page_id=201,MATCHED,HIGH,"Pediatric therapy clinics. /locations and /contact 404; the live Contact Us page (?page_id=201) lists three offices - Palm Harbor (head office), Westchase at 12729 Race Track Rd, Tampa FL 33626, and Trinity. Westchase is a Tampa neighborhood so it maps to Tampa. All directory cities match."
abakidsconnection.com,ABA Kids Connection,Brooksville|Orlando|Tampa,3,Brooksville|Orlando|Tampa,,,https://www.abakidsconnection.com/contact,MATCHED,HIGH,"ABA provider. Wix-hosted site; robots.txt fetch is flaky and several page loads failed transiently. The Contact page loaded and publishes three clinics with full addresses: Tampa (4236 W Linebaugh Ave), Orlando (1300 E Michigan St Ste B), Brooksville (310 Ponce De Leon Blvd). Exact match to the directory."
ariseautismcenter.com,Arise Autism Center,Clermont|Lake Mary|Sanford,3,Clermont|Lake Mary|Sanford,,,https://ariseautismcenter.com/contact-us/,MATCHED,HIGH,"ABA center. No /locations page (404); the Contact Us page lists all three centers with full addresses - Lake Mary (930 Williston Park Pt), Sanford (3840 Saint Johns Pkwy), Clermont (2105 Hartwood Marsh Rd #7). Same three appear in the homepage footer. Exact match to the directory."
arnoldpalmerhospital.com,Orlando Health Arnold Palmer Hospital for Children,Orlando,1,Orlando,,,https://arnoldpalmerhospital.com/locations,MATCHED,MEDIUM,"Single children's hospital. arnoldpalmerhospital.com/locations serves Orlando Health's system-wide 'Facilities & Locations' / ER wait-time list (22 facilities across Wesley Chapel, Ocoee, St. Petersburg, Leesburg, Clermont, Lake Mary, Longwood, Kissimmee, Pinellas Park, Davenport, Winter Garden, Melbourne, St. Cloud, Sebastian, Lakeland and Orlando), not an Arnold Palmer-specific list. The only Arnold Palmer entity on it is 'Orlando Health Arnold Palmer Hospital for Children' in Orlando, so published_cities is scoped to Orlando. All 3 directory records are Orlando."
sparkpediatrics.com,Spark Pediatrics,Clearwater|Fort Lauderdale|Jacksonville|Kissimmee|Miami|Orlando|Palm Springs|Stuart|Tallahassee|Tamarac,10,Clearwater|Palm Springs|Stuart,,Fort Lauderdale|Jacksonville|Kissimmee|Miami|Orlando|Tallahassee|Tamarac,https://sparkpediatrics.com/locations,MATCHED,HIGH,"PPEC (prescribed pediatric extended care) chain; 11 Florida centers plus Texas (Grand Prairie, Houston) which are excluded. Note the center branded 'West Palm Beach PPEC' has a published street address of 1720 S Congress Ave, Palm Springs, FL 33461, so the directory's PALM SPRINGS record is correct and matches. 'Arlington PPEC' (10750 Atlantic Blvd, Jacksonville) is a Jacksonville neighborhood and collapses into Jacksonville with the separate Jacksonville PPEC."
kidsspotrehab.com,Kids SPOT,Hollywood|Wesley Chapel,2,Lutz|Pompano Beach|West Palm Beach,Lutz|Pompano Beach|West Palm Beach,Hollywood|Wesley Chapel,https://www.kidsspotrehab.com/company/locations/,MISMATCH,MEDIUM,"Pediatric therapy group (PT/OT/speech/ABA). The site is in a broken/partially-migrated state - internal links resolve to ASP.NET error paths (?aspxerrorpath=...) and the sitemap page renders almost nothing. The /company/locations/ page and the sitemap both publish only two Florida clinics: Hollywood (1 Oakwood Blvd Ste 130/140) and Wesley Chapel (Communication Corner). NONE of the three directory cities - Lutz, Pompano Beach, West Palm Beach - appear anywhere on the pages that loaded. Search result titles hint at former /south-florida-kids-spot-locations/ and /central-florida-kids-spot-locations/ sections (e.g. Maitland) that no longer render, so the company likely had more sites historically. Flagged as mismatch, but recommend a manual recheck once the site is stable."
advancedrehab.us,Advanced Rehabilitation,Boca Raton|Delray Beach|Largo|Tampa|Valrico,5,Largo|Tampa,,Boca Raton|Delray Beach|Valrico,https://advancedrehab.us/locations,MATCHED,HIGH,"Physical/pediatric therapy group. /locations loaded directly and states '8 convenient locations - 6 in Florida and 2 in Delaware'. The 6 Florida clinics are South Tampa (4539 S Dale Mabry) and North Tampa (13801 Bruce B Downs Blvd) - both Tampa - plus FishHawk/Valrico, Largo, Boca Raton and Delray Beach (the last two branded 'Segal & Witt Physical Therapy Powered by Advanced Rehabilitation'). Delaware locations excluded. Both directory cities match."
sskidstherapy.com,Stepping Stone Kids Therapy,Bonita Springs|Cape Coral|Fort Myers|Immokalee|Naples|Port Charlotte,6,Cape Coral|Fort Myers|Naples,,Bonita Springs|Immokalee|Port Charlotte,https://sskidstherapy.com/locations,MATCHED,HIGH,"Pediatric therapy clinic chain in SW Florida. Locations page loaded directly at /locations and lists 7 FL clinics; two are in Naples (Central Naples and Lely Naples), counted as one city. All 3 directory cities appear on the company site."
cultivatebhe.com,Cultivate Behavioral Health & Education,Boca Raton|Boynton Beach|Bradenton|Coral Gables|Coral Springs|Cutler Bay|Fort Lauderdale|Jacksonville|Kendale Lakes|Kendall|Miami|Orange Park|Palm Bay|Palm Beach|Sarasota|Sebastian|Sunrise|Vero Beach|West Palm Beach|Yulee,20,Boca Raton|Orange Park|Yulee,,Boynton Beach|Bradenton|Coral Gables|Coral Springs|Cutler Bay|Fort Lauderdale|Jacksonville|Kendale Lakes|Kendall|Miami|Palm Bay|Palm Beach|Sarasota|Sebastian|Sunrise|Vero Beach|West Palm Beach,https://cultivatebhe.com/find-a-location/,MATCHED,HIGH,"Multi-state ABA/behavioral health chain; Florida is one of ~13 states on its find-a-location page. Several FL entries are published as metro labels (Ft. Lauderdale Metro, Jacksonville Metro, Miami Metro, Palm Bay Metro, Sarasota Metro) and were normalized to the city name. All 3 directory cities are published."
talkactiveclinic.com,Talk Active Therapy Clinic,,0,Orlando|Winter Park,,,,NO_LOCATIONS_PAGE,MEDIUM,"Speech/pediatric therapy clinic in Central Florida. /locations returned a server error on two attempts and /contact is a 404; no dedicated locations page exists. The homepage itself lists four clinic addresses (Orlando Florida Mall, Orlando Metro West, Kissimmee, Winter Park), which would cover both directory cities, but per the rules the homepage is not used as the location list."
therapies4kids.com,"Therapies 4 Kids, Inc.",,0,Coral Springs|Hollywood|Pembroke Pines,,,,NO_LOCATIONS_PAGE,LOW,"Pediatric therapy company serving Broward/Miami-Dade/Palm Beach. Site is heavily bot-blocked: robots.txt repeatedly timed out, so most pages (including /locations) could not be fetched across multiple retries. The homepage did load once and lists no clinic addresses and no locations-page link. Individual clinic pages exist (e.g. /location-wellington, a Wellington clinic described as 'opening very soon' and referencing unnamed 'other locations in Florida'), but no index page enumerating them could be read. Directory cities could not be verified either way."
littleleaves.org,Little Leaves Behavioral Services,Coral Springs|Miami Lakes|Weston,3,Coral Springs|Miami Lakes|Weston,,,https://littleleaves.org/find-a-center/,MATCHED,HIGH,"Center-based ABA provider operating in MD, VA and FL. /locations errored; the real list is at /find-a-center/, which publishes exactly 3 Florida centers matching the 3 directory records one-for-one."
elliementalhealth.com,Ellie Mental Health,Bradenton|Brandon|Estero|Fort Myers|Hollywood|Jacksonville|Lake Worth Beach|Pembroke Pines|Weston,9,Lake Worth Beach|Pembroke Pines|Weston,,Bradenton|Brandon|Estero|Fort Myers|Hollywood|Jacksonville,https://elliementalhealth.com/locations,MATCHED,MEDIUM,"National mental-health franchise (260+ clinics) with a JavaScript location finder, so the FL list extracted from /locations is likely partial. Each of the 3 directory cities was verified individually on the company's own clinic pages: /locations/weston-fl/ (2853 Executive Park Dr, Weston FL 33331, open) and /locations/pembroke-pines-fl/ (9050 Pines Blvd, Pembroke Pines FL 33024, open); Lake Worth Beach appears on the finder as 'Lake Worth' (same municipality, renamed). No directory city is unpublished; treat cities_not_in_directory as incomplete."
toc.md,Total Orthopaedic Care,Lauderdale Lakes|Pembroke Pines,2,Hollywood|Lauderhill,Hollywood|Lauderhill,Lauderdale Lakes|Pembroke Pines,https://toc.md/locations,MISMATCH,HIGH,"Orthopaedic practice (toc.md is a real .md-TLD domain). Its own locations page states plainly 'we have two offices to serve you': 10794 Pines Blvd Ste 102-104, Pembroke Pines, and 4850 W Oakland Park Blvd Ste 201, Lauderdale Lakes. Neither directory city is published — the two Hollywood records have no published counterpart at all, and the directory's Lauderhill record is a neighbouring-but-different city from the published Lauderdale Lakes office (the W Oakland Park Blvd address sits just over the Lauderhill line, so that record may be a mis-labelled version of the same office). Strongest mismatch in this batch."
equanimitytherapy.com,Equanimity Therapy,,0,Hollywood|Pembroke Pines,,,,NO_LOCATIONS_PAGE,LOW,"Site is bot-blocked: robots.txt returns 'all paths disallowed', so no page on the domain could be fetched (/locations blocked, www host returns 404). No locations page could be read and nothing about the directory's Hollywood and Pembroke Pines records could be verified. Not called SITE_DEAD because the block is a robots/bot restriction, not a dead host."
breakthroughtherapyservices.com,Breakthrough Therapy Services,Davie,1,Davie|Plantation|Southwest Ranches,Plantation|Southwest Ranches,,https://www.breakthroughtherapyservices.com/contact-us/,MISMATCH,HIGH,"Pediatric speech/OT center in west Broward. /locations does not exist (server error); the contact page is the location page and publishes exactly one office: 12545 Orange Drive Suite 502, Davie FL 33330. The homepage independently shows the same single Davie address. The directory's Plantation and Southwest Ranches records have no counterpart on the company site — Southwest Ranches borders the Davie address, so that record may be a duplicate of the Davie office."
ufhealthjax.org,UF Health Jacksonville (University of Florida Health),Jacksonville,1,Jacksonville,,,https://ufhealthjax.org/locations,MATCHED,MEDIUM,"Academic health system. /locations is a genuine locations page but renders its facility list through JavaScript filters (Find Adult Primary Care, Find Pediatric Primary Care, /locations/type/hospitals), so individual addresses were not readable; the page text does state the system serves the community from 'two Jacksonville hospitals' (UF Health Jacksonville downtown and UF Health North) and 'convenient care throughout Northeast Florida'. All 3 directory records are Jacksonville, which is confirmed published; the system may also publish other Northeast FL cities that were not enumerable, so cities_not_in_directory is left empty."
www-healthpro-heritage-com.sandbox.hs-sites.com,HealthPRO Heritage,,0,Lakeland|Riverview,,,,NO_LOCATIONS_PAGE,HIGH,"National contract-therapy management company (PT/OT/SLP staffing for skilled nursing, senior living, schools, pediatrics). The HubSpot sandbox host www-healthpro-heritage-com.sandbox.hs-sites.com resolves and serves the corporate site but has no locations link; the real corporate site healthpro-heritage.com also resolves and /locations returns 404. Navigation is Services / Clinical Specialties / Insights / Partner With Us / Careers only - no location directory, only a HubSpot 'Contact Us' form. Cannot establish a published Florida city list."
azultherapyservices.com,Azul Therapy Services,Hialeah|Miami,2,Hialeah|Miami,,,https://azultherapyservices.com/contact,MATCHED,HIGH,"Pediatric therapy provider in Miami-Dade. Contact page publishes three clinics: Kendall (13500 SW 88th St, Miami 33186), Hialeah (4236 W 16th Ave, Hialeah 33012), Little Havana (2140 W Flagler St, Miami 33135). Kendall and Little Havana are neighborhoods inside Miami, so distinct cities are Miami and Hialeah - both present in the directory. /locations serves the homepage, not a separate list."
physicalone.com,PhysicalOne Physical Therapy,Plantation|Tamarac,2,Fort Lauderdale|Lauderhill,Fort Lauderdale|Lauderhill,Plantation|Tamarac,https://physicalone.com/contact,MISMATCH,HIGH,"Broward County physical therapy practice. /locations 404s; the Contact page is the location list and publishes exactly two clinics: PhysicalOne Plantation (350 NW 70th Ave Suite A, Plantation FL 33317, main office) and PhysicalOne Tamarac (6471 W Commercial Blvd, Tamarac FL 33319). NEITHER directory city (Fort Lauderdale, Lauderhill) appears on the company site - both are unpublished. Lauderhill borders Plantation/Tamarac and Fort Lauderdale is nearby, so these look like stale or metro-area-labelled records."
physicaltherapygroupofflorida.com,Physical Therapy Group of Florida,Coral Springs|Fort Lauderdale,2,Coral Springs|Fort Lauderdale,,,https://www.physicaltherapygroupofflorida.com/contact-us/,MATCHED,HIGH,"Broward PT practice. /locations 404s; the Contact Us page is the location hub and links two clinic pages: Fort Lauderdale (2430 E Commercial Blvd, 33308) and Coral Springs (1310 N University Dr, 33071). Both directory cities match exactly."
positivebehaviorservices.com,Positive Behavior Services,,0,Fort Myers|Homestead,,,,NO_LOCATIONS_PAGE,MEDIUM,"ABA / autism therapy provider delivering in-home and school-based services. Site resolves but has no locations page: /locations serves the homepage with no city list, and /contact and /contact-us both fail with a robots.txt fetch error (partially bot-blocked). The only geography published is prose - 'South Florida' and 'Florida and Georgia'. No published city list, so no conclusion about the Fort Myers / Homestead records."
